id,lat,lon,mach
8523,0.631512,0.263562,2
8524,0.718096,0.26706,2
8526,0.651114,0.0291552,2
8527,0.671937,0.0610052,2
8531,0.717743,0.142375,2
8538,0.585287,0.123681,2
8540,0.494855,0.0455368,2
8554,0.668962,0.0142867,2
8563,0.754672,0.295816,2
8565,0.548965,0.131256,2
8567,0.95188,0.121914,2
8575,0.893837,0.281447,2
8583,0.717954,0.0544842,2
8589,0.666927,0.269893,2
8591,0.639249,0.0345667,2
8601,0.841677,0.14656,2
8604,0.530436,0.219927,2
8611,0.541932,0.219922,2
8624,0.89766,0.157509,2
8625,0.77219,0.0945008,2
8627,0.941856,0.0206368,2
8629,0.82345,0.0722343,2
8636,0.730189,0.2751,2
8641,0.690023,0.31434,2
8650,0.788242,0.0997623,2
8653,0.631072,0.00548427,2
8656,0.86889,0.113291,2
8660,0.699577,0.218939,2
8661,0.779135,0.26099,2
8666,0.672245,0.320205,2
8675,0.8819,0.0680666,2
8681,0.741606,0.189882,2
8686,0.563329,0.147639,2
8687,0.825232,0.172439,2
8702,0.89004,0.11069,2
8709,0.987576,0.0121627,2
8714,0.751102,0.124869,2
8715,0.967508,0.0525262,2
8717,0.938015,0.14373,2
8722,0.54526,0.0938011,2
8725,0.457421,0.0565266,2
8728,0.545748,0.145858,2
8729,0.731347,0.150543,2
8731,0.825183,0.123579,2
8732,0.720691,0.135042,2
8737,0.728961,0.122924,2
8738,0.554438,0.178163,2
8747,0.706717,0.174754,2
8748,0.50919,0.113607,2
8749,0.642057,0.185656,2
8760,0.556175,0.0951564,2
8763,0.613934,0.161707,2
8765,0.711632,0.153528,2
8771,0.947917,0.166417,2
8773,0.998416,0.1416,2
8787,0.90669,0.157204,2
8789,0.972054,0.127276,2
8792,0.643523,0.184874,2
8799,0.799792,0.21719,2
8805,0.640457,0.0974028,2
8807,0.995377,0.251565,2
8811,0.605092,0.158198,2
8812,0.892568,0.181978,2
8816,0.930929,0.190025,2
8820,0.626585,0.262721,2
8823,0.77699,0.145716,2
8824,0.60914,0.0639641,2
8842,0.8914,0.226407,2
8849,0.610209,0.184333,2
8855,0.996906,0.193229,2
8857,0.94862,0.036428,2
8860,0.595166,0.0908459,2
8882,0.838252,0.289301,2
8883,0.621976,0.279139,2
8885,0.922559,0.252577,2
8892,0.809762,0.218184,2
8908,0.908438,0.216286,2
8915,0.554726,0.0345384,2
8917,0.695681,0.296342,2
8919,0.713179,0.264094,2
8923,0.79249,0.193884,2
8934,0.597707,0.313896,2
8936,0.840302,0.259927,2
8941,0.999441,0.268289,2
8943,0.767406,0.208427,2
8946,0.987278,0.0726146,2
8948,0.493087,0.220329,2
8949,0.857817,0.0544742,2
8950,0.946939,0.218402,2
8958,0.995656,0.251422,2
8961,0.902337,0.0712903,2
8971,0.976809,0.223389,2
8972,0.846975,0.0484641,2
8975,0.501154,0.137932,2
8989,0.688873,0.124215,2
8994,0.950109,0.039353,2
8995,0.494775,0.228173,2
8997,0.650374,0.311787,2
8998,0.72449,0.294211,2
9013,0.548412,0.263062,2
9014,0.831978,0.0185007,2
9017,0.62041,0.145165,2
9020,0.890243,0.20637,2
9031,0.770369,0.2521,2
9033,0.966773,0.0642768,2
9049,0.999658,0.122662,2
9053,0.975268,0.0619992,2
9059,0.79609,0.193467,2
9068,0.907665,0.2305,2
9073,0.526084,0.321308,2
9075,0.809469,0.124196,2
9077,0.987767,0.113638,2
9080,0.589536,0.0294689,2
9082,0.938962,0.0189174,2
9085,0.569371,0.0965262,2
9089,0.86598,0.0948999,2
9092,0.973128,0.252054,2
9097,0.902758,0.183505,2
9098,0.647394,0.145093,2
9105,0.831174,0.239521,2
9110,0.997467,0.0737149,2
9111,0.696011,0.000386866,2
9115,0.855608,0.233154,2
9117,0.743473,0.0638645,2
9119,0.657074,0.22817,2
9122,0.663853,0.286833,2
9125,0.91267,0.0203005,2
9128,0.944839,0.284443,2
9130,0.90265,0.136449,2
9134,0.628829,0.0454595,2
9145,0.568899,0.148331,2
9160,0.836009,0.158467,2
9177,0.648905,0.170789,2
9180,0.99807,0.0269262,2
9190,0.484383,0.0501362,2
9192,0.750231,0.00927801,2
9220,0.877865,0.271813,2
9221,0.710684,0.0521003,2
9223,0.557072,0.128791,2
9233,0.743697,0.181959,2
9234,0.804904,0.156133,2
9245,0.745822,0.130615,2
9249,0.94001,0.162265,2
9251,0.821104,0.136758,2
9266,0.453956,0.0684724,2
9270,0.77144,0.17621,2
9273,0.48263,0.119459,2
9274,0.67923,0.144939,2
9283,0.633025,0.169352,2
9284,0.655071,0.212455,2
9293,0.590669,0.0697692,2
9295,0.757031,0.258235,2
9303,0.610077,0.288363,2
